dataset,model,correct_format_count,num_samples,share_all,share_oracle_solvable
realhit,Qwen3.5-9B,0,387,0.16233221476510068,0.0
realhit,Qwen3.5-9B,1,183,0.07676174496644295,0.09163745618427642
realhit,Qwen3.5-9B,2,147,0.06166107382550336,0.07361041562343515
realhit,Qwen3.5-9B,3,172,0.07214765100671142,0.08612919379068602
realhit,Qwen3.5-9B,4,234,0.09815436241610738,0.11717576364546821
realhit,Qwen3.5-9B,5,435,0.18246644295302014,0.21782674011016526
realhit,Qwen3.5-9B,6,826,0.3464765100671141,0.41362043064596893
realhit,Qwen3-VL-30B-A3B-Instruct,0,455,0.19085570469798657,0.0
realhit,Qwen3-VL-30B-A3B-Instruct,1,205,0.08598993288590603,0.10627268014515293
realhit,Qwen3-VL-30B-A3B-Instruct,2,153,0.06417785234899329,0.07931570762052877
realhit,Qwen3-VL-30B-A3B-Instruct,3,165,0.06921140939597316,0.08553654743390357
realhit,Qwen3-VL-30B-A3B-Instruct,4,189,0.07927852348993289,0.09797822706065319
realhit,Qwen3-VL-30B-A3B-Instruct,5,383,0.1606543624161074,0.19854847071021253
realhit,Qwen3-VL-30B-A3B-Instruct,6,834,0.3498322147651007,0.432348367029549
realhit,gemma-3-12b-it,0,759,0.3183724832214765,0.0
realhit,gemma-3-12b-it,1,342,0.14345637583892618,0.21046153846153845
realhit,gemma-3-12b-it,2,286,0.11996644295302013,0.176
realhit,gemma-3-12b-it,3,254,0.10654362416107382,0.15630769230769231
realhit,gemma-3-12b-it,4,321,0.13464765100671142,0.19753846153846155
realhit,gemma-3-12b-it,5,242,0.10151006711409397,0.14892307692307694
realhit,gemma-3-12b-it,6,180,0.07550335570469799,0.11076923076923077
realhit,gemma-4-12B-it,0,422,0.17701342281879195,0.0
realhit,gemma-4-12B-it,1,121,0.05075503355704698,0.06167176350662589
realhit,gemma-4-12B-it,2,121,0.05075503355704698,0.06167176350662589
realhit,gemma-4-12B-it,3,208,0.087248322147651,0.10601427115188583
realhit,gemma-4-12B-it,4,525,0.22021812080536912,0.26758409785932724
realhit,gemma-4-12B-it,5,385,0.16149328859060402,0.1962283384301733
realhit,gemma-4-12B-it,6,602,0.2525167785234899,0.3068297655453619
realhit,gemma-4-26B-A4B-it,0,419,0.17575503355704697,0.0
realhit,gemma-4-26B-A4B-it,1,107,0.04488255033557047,0.0544529262086514
realhit,gemma-4-26B-A4B-it,2,68,0.028523489932885907,0.03460559796437659
realhit,gemma-4-26B-A4B-it,3,159,0.06669463087248322,0.08091603053435115
realhit,gemma-4-26B-A4B-it,4,450,0.18875838926174496,0.22900763358778625
realhit,gemma-4-26B-A4B-it,5,449,0.18833892617449666,0.22849872773536894
realhit,gemma-4-26B-A4B-it,6,732,0.3070469798657718,0.37251908396946565
spreadsheet,Qwen3.5-9B,0,168,0.42,0.0
spreadsheet,Qwen3.5-9B,1,83,0.2075,0.3577586206896552
spreadsheet,Qwen3.5-9B,2,62,0.155,0.2672413793103448
spreadsheet,Qwen3.5-9B,3,43,0.1075,0.1853448275862069
spreadsheet,Qwen3.5-9B,4,22,0.055,0.09482758620689655
spreadsheet,Qwen3.5-9B,5,13,0.0325,0.05603448275862069
spreadsheet,Qwen3.5-9B,6,9,0.0225,0.03879310344827586
spreadsheet,Qwen3-VL-30B-A3B-Instruct,0,205,0.5125,0.0
spreadsheet,Qwen3-VL-30B-A3B-Instruct,1,53,0.1325,0.2717948717948718
spreadsheet,Qwen3-VL-30B-A3B-Instruct,2,51,0.1275,0.26153846153846155
spreadsheet,Qwen3-VL-30B-A3B-Instruct,3,29,0.0725,0.14871794871794872
spreadsheet,Qwen3-VL-30B-A3B-Instruct,4,29,0.0725,0.14871794871794872
spreadsheet,Qwen3-VL-30B-A3B-Instruct,5,20,0.05,0.10256410256410256
spreadsheet,Qwen3-VL-30B-A3B-Instruct,6,13,0.0325,0.06666666666666667
spreadsheet,gemma-3-12b-it,0,277,0.6925,0.0
spreadsheet,gemma-3-12b-it,1,44,0.11,0.35772357723577236
spreadsheet,gemma-3-12b-it,2,28,0.07,0.22764227642276422
spreadsheet,gemma-3-12b-it,3,19,0.0475,0.15447154471544716
spreadsheet,gemma-3-12b-it,4,11,0.0275,0.08943089430894309
spreadsheet,gemma-3-12b-it,5,10,0.025,0.08130081300813008
spreadsheet,gemma-3-12b-it,6,11,0.0275,0.08943089430894309
spreadsheet,gemma-4-12B-it,0,85,0.2125,0.0
spreadsheet,gemma-4-12B-it,1,36,0.09,0.11428571428571428
spreadsheet,gemma-4-12B-it,2,37,0.0925,0.11746031746031746
spreadsheet,gemma-4-12B-it,3,41,0.1025,0.13015873015873017
spreadsheet,gemma-4-12B-it,4,43,0.1075,0.1365079365079365
spreadsheet,gemma-4-12B-it,5,57,0.1425,0.18095238095238095
spreadsheet,gemma-4-12B-it,6,101,0.2525,0.32063492063492066
spreadsheet,gemma-4-26B-A4B-it,0,65,0.1625,0.0
spreadsheet,gemma-4-26B-A4B-it,1,33,0.0825,0.09850746268656717
spreadsheet,gemma-4-26B-A4B-it,2,30,0.075,0.08955223880597014
spreadsheet,gemma-4-26B-A4B-it,3,32,0.08,0.0955223880597015
spreadsheet,gemma-4-26B-A4B-it,4,52,0.13,0.15522388059701492
spreadsheet,gemma-4-26B-A4B-it,5,53,0.1325,0.1582089552238806
spreadsheet,gemma-4-26B-A4B-it,6,135,0.3375,0.40298507462686567
