dataset,model,task_type,num_samples,none_correct_count,exactly_one_count,partial_2_to_f_minus_1_count,all_formats_count,best_fixed_format,best_fixed_accuracy,sheetflex_accuracy,oracle_union_accuracy
realhit,Qwen3-VL-30B-A3B-Instruct,Fact Checking,1217,228,87,415,487,latex,0.6680361544782252,0.6935086277732129,0.8126540673788003
realhit,Qwen3-VL-30B-A3B-Instruct,Numerical Reasoning,771,209,81,267,214,json_rows,0.5577172503242542,0.5836575875486382,0.728923476005188
realhit,Qwen3-VL-30B-A3B-Instruct,Structure Comprehending,396,18,37,208,133,json_cells,0.7424242424242424,0.8131313131313131,0.9545454545454546
realhit,Qwen3.5-9B,Fact Checking,1217,200,83,452,482,excel_1_image,0.6877567789646672,0.7304847986852917,0.8356614626129828
realhit,Qwen3.5-9B,Numerical Reasoning,771,167,75,313,216,json_cells,0.5745784695201037,0.6498054474708171,0.7833981841763943
realhit,Qwen3.5-9B,Structure Comprehending,396,20,25,223,128,excel_1_image,0.75,0.8434343434343434,0.9494949494949495
realhit,gemma-3-12b-it,Fact Checking,1217,349,158,600,110,latex,0.551355792933443,0.5250616269515201,0.7132292522596549
realhit,gemma-3-12b-it,Numerical Reasoning,771,349,121,259,42,latex,0.35019455252918286,0.36186770428015563,0.5473411154345007
realhit,gemma-3-12b-it,Structure Comprehending,396,61,63,244,28,latex,0.5959595959595959,0.5883838383838383,0.8459595959595959
realhit,gemma-4-12B-it,Fact Checking,1217,228,70,624,295,latex,0.714872637633525,0.7313064913722268,0.8126540673788003
realhit,gemma-4-12B-it,Numerical Reasoning,771,180,36,372,183,latex,0.669260700389105,0.6939040207522698,0.7665369649805448
realhit,gemma-4-12B-it,Structure Comprehending,396,14,15,243,124,latex,0.851010101010101,0.8838383838383839,0.9646464646464646
realhit,gemma-4-26B-A4B-it,Fact Checking,1217,229,51,548,389,json_cells,0.7280197206244864,0.7502054231717338,0.8118323746918652
realhit,gemma-4-26B-A4B-it,Numerical Reasoning,771,180,43,335,213,latex,0.6796368352788587,0.6990920881971465,0.7665369649805448
realhit,gemma-4-26B-A4B-it,Structure Comprehending,396,10,13,243,130,latex,0.8813131313131313,0.9166666666666666,0.9747474747474747
spreadsheet,Qwen3-VL-30B-A3B-Instruct,Cell-Level Manipulation,275,147,37,84,7,json_cells,0.2872727272727273,0.3418181818181818,0.46545454545454545
spreadsheet,Qwen3-VL-30B-A3B-Instruct,Sheet-Level Manipulation,125,58,16,45,6,json_cells,0.312,0.36,0.536
spreadsheet,Qwen3.5-9B,Cell-Level Manipulation,275,111,63,97,4,json_cells,0.29454545454545455,0.33090909090909093,0.5963636363636363
spreadsheet,Qwen3.5-9B,Sheet-Level Manipulation,125,57,20,43,5,json_rows,0.296,0.376,0.544
spreadsheet,gemma-3-12b-it,Cell-Level Manipulation,275,198,32,39,6,latex,0.13090909090909092,0.15272727272727274,0.28
spreadsheet,gemma-3-12b-it,Sheet-Level Manipulation,125,79,12,29,5,json_cells,0.272,0.296,0.368
spreadsheet,gemma-4-12B-it,Cell-Level Manipulation,275,53,29,128,65,json_cells,0.6472727272727272,0.6618181818181819,0.8072727272727273
spreadsheet,gemma-4-12B-it,Sheet-Level Manipulation,125,32,7,50,36,latex,0.6,0.608,0.744
spreadsheet,gemma-4-26B-A4B-it,Cell-Level Manipulation,275,40,25,114,96,markdown,0.7018181818181818,0.7018181818181818,0.8545454545454545
spreadsheet,gemma-4-26B-A4B-it,Sheet-Level Manipulation,125,25,8,53,39,json_cells,0.648,0.68,0.8
