dataset,model,correct_format_count,correct_formats,num_samples,share_all,share_oracle_solvable
realhit,Qwen3.5-9B,6,latex+markdown+json_cells+json_rows+image+excel_1_image,826,0.3464765100671141,0.41362043064596893
realhit,Qwen3.5-9B,0,none,387,0.16233221476510068,0.0
realhit,Qwen3.5-9B,5,latex+markdown+json_cells+json_rows+excel_1_image,109,0.04572147651006712,0.05458187280921382
realhit,Qwen3.5-9B,5,latex+json_cells+json_rows+image+excel_1_image,74,0.03104026845637584,0.037055583375062595
realhit,Qwen3.5-9B,5,markdown+json_cells+json_rows+image+excel_1_image,69,0.028942953020134228,0.03455182774161242
realhit,Qwen3.5-9B,5,latex+markdown+json_cells+json_rows+image,65,0.02726510067114094,0.03254882323485228
realhit,Qwen3.5-9B,5,latex+markdown+json_rows+image+excel_1_image,60,0.025167785234899327,0.030045067601402103
realhit,Qwen3.5-9B,5,latex+markdown+json_cells+image+excel_1_image,58,0.024328859060402684,0.02904356534802203
realhit,Qwen3.5-9B,1,image,56,0.02348993288590604,0.028042063094641963
realhit,Qwen3.5-9B,1,excel_1_image,43,0.018036912751677854,0.021532298447671506
realhit,Qwen3.5-9B,4,json_cells+json_rows+image+excel_1_image,39,0.016359060402684564,0.019529293940911366
realhit,Qwen3.5-9B,2,image+excel_1_image,29,0.012164429530201342,0.014521782674011016
realhit,Qwen3.5-9B,1,json_cells,27,0.011325503355704697,0.013520280420630946
realhit,Qwen3.5-9B,4,latex+json_cells+image+excel_1_image,26,0.010906040268456376,0.013019529293940912
realhit,Qwen3.5-9B,4,latex+markdown+image+excel_1_image,26,0.010906040268456376,0.013019529293940912
realhit,Qwen3.5-9B,1,latex,23,0.00964765100671141,0.011517275913870806
realhit,Qwen3.5-9B,4,latex+markdown+json_cells+json_rows,22,0.009228187919463088,0.011016524787180772
realhit,Qwen3.5-9B,3,latex+image+excel_1_image,20,0.008389261744966443,0.010015022533800702
realhit,Qwen3.5-9B,1,json_rows,19,0.007969798657718121,0.009514271407110666
realhit,Qwen3.5-9B,3,json_cells+image+excel_1_image,19,0.007969798657718121,0.009514271407110666
realhit,Qwen3.5-9B,2,json_cells+json_rows,17,0.007130872483221477,0.008512769153730596
realhit,Qwen3.5-9B,4,markdown+json_rows+image+excel_1_image,17,0.007130872483221477,0.008512769153730596
realhit,Qwen3.5-9B,1,markdown,15,0.006291946308724832,0.007511266900350526
