dataset,model,format,format_label,num_samples,correct_count,accuracy,unique_count,unique_rate_among_format_correct,unique_rate_among_all,unique_share_of_oracle_union
realhit,Qwen3.5-9B,latex,LaTeX,2384,1486,0.6233221476510067,23,0.01547779273216689,0.00964765100671141,0.011517275913870806
realhit,Qwen3.5-9B,markdown,Markdown,2384,1448,0.6073825503355704,15,0.010359116022099447,0.006291946308724832,0.007511266900350526
realhit,Qwen3.5-9B,json_cells,JSON-Cell,2384,1532,0.6426174496644296,27,0.01762402088772846,0.011325503355704697,0.013520280420630946
realhit,Qwen3.5-9B,json_rows,JSON-Row,2384,1489,0.6245805369127517,19,0.012760241773002015,0.007969798657718121,0.009514271407110666
realhit,Qwen3.5-9B,image,Image,2384,1529,0.6413590604026845,56,0.03662524525833878,0.02348993288590604,0.028042063094641963
realhit,Qwen3.5-9B,excel_1_image,Excel-Image,2384,1576,0.6610738255033557,43,0.02728426395939086,0.018036912751677854,0.021532298447671506
realhit,Qwen3-VL-30B-A3B-Instruct,latex,LaTeX,2384,1519,0.6371644295302014,29,0.019091507570770244,0.012164429530201342,0.01503369621565578
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,Markdown,2384,1470,0.6166107382550335,23,0.015646258503401362,0.00964765100671141,0.011923276308968377
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,JSON-Cell,2384,1503,0.6304530201342282,28,0.018629407850964737,0.01174496644295302,0.014515292897874546
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,JSON-Row,2384,1499,0.6287751677852349,35,0.02334889926617745,0.014681208053691275,0.018144116122343183
realhit,Qwen3-VL-30B-A3B-Instruct,image,Image,2384,1392,0.5838926174496645,58,0.041666666666666664,0.024328859060402684,0.03006739243131156
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,Excel-Image,2384,1298,0.5444630872483222,32,0.02465331278890601,0.013422818791946308,0.01658890616899948
realhit,gemma-3-12b-it,latex,LaTeX,2384,1177,0.4937080536912752,103,0.0875106202209006,0.04320469798657718,0.06338461538461539
realhit,gemma-3-12b-it,markdown,Markdown,2384,969,0.40645973154362414,41,0.04231166150670795,0.017197986577181208,0.02523076923076923
realhit,gemma-3-12b-it,json_cells,JSON-Cell,2384,912,0.3825503355704698,46,0.05043859649122807,0.01929530201342282,0.028307692307692308
realhit,gemma-3-12b-it,json_rows,JSON-Row,2384,969,0.40645973154362414,46,0.047471620227038186,0.01929530201342282,0.028307692307692308
realhit,gemma-3-12b-it,image,Image,2384,731,0.3066275167785235,69,0.09439124487004104,0.028942953020134228,0.04246153846153846
realhit,gemma-3-12b-it,excel_1_image,Excel-Image,2384,492,0.2063758389261745,37,0.07520325203252033,0.01552013422818792,0.02276923076923077
realhit,gemma-4-12B-it,latex,LaTeX,2384,1723,0.722734899328859,20,0.011607661056297156,0.008389261744966443,0.010193679918450561
realhit,gemma-4-12B-it,markdown,Markdown,2384,1664,0.697986577181208,17,0.010216346153846154,0.007130872483221477,0.008664627930682976
realhit,gemma-4-12B-it,json_cells,JSON-Cell,2384,1693,0.7101510067114094,23,0.013585351447135264,0.00964765100671141,0.011722731906218144
realhit,gemma-4-12B-it,json_rows,JSON-Row,2384,1652,0.6929530201342282,16,0.009685230024213076,0.006711409395973154,0.00815494393476045
realhit,gemma-4-12B-it,image,Image,2384,1011,0.4240771812080537,31,0.03066271018793274,0.013003355704697987,0.01580020387359837
realhit,gemma-4-12B-it,excel_1_image,Excel-Image,2384,881,0.3695469798657718,14,0.015891032917139614,0.00587248322147651,0.007135575942915392
realhit,gemma-4-26B-A4B-it,latex,LaTeX,2384,1752,0.7348993288590604,18,0.010273972602739725,0.007550335570469799,0.00916030534351145
realhit,gemma-4-26B-A4B-it,markdown,Markdown,2384,1736,0.7281879194630873,13,0.007488479262672811,0.005453020134228188,0.0066157760814249365
realhit,gemma-4-26B-A4B-it,json_cells,JSON-Cell,2384,1750,0.7340604026845637,19,0.010857142857142857,0.007969798657718121,0.009669211195928753
realhit,gemma-4-26B-A4B-it,json_rows,JSON-Row,2384,1716,0.7197986577181208,5,0.002913752913752914,0.0020973154362416107,0.002544529262086514
realhit,gemma-4-26B-A4B-it,image,Image,2384,1178,0.4941275167785235,39,0.03310696095076401,0.016359060402684564,0.01984732824427481
realhit,gemma-4-26B-A4B-it,excel_1_image,Excel-Image,2384,1025,0.4299496644295302,13,0.012682926829268294,0.005453020134228188,0.0066157760814249365
spreadsheet,Qwen3.5-9B,latex,LaTeX,400,95,0.2375,18,0.18947368421052632,0.045,0.07758620689655173
spreadsheet,Qwen3.5-9B,markdown,Markdown,400,90,0.225,11,0.12222222222222222,0.0275,0.04741379310344827
spreadsheet,Qwen3.5-9B,json_cells,JSON-Cell,400,115,0.2875,22,0.19130434782608696,0.055,0.09482758620689655
spreadsheet,Qwen3.5-9B,json_rows,JSON-Row,400,102,0.255,21,0.20588235294117646,0.0525,0.09051724137931035
spreadsheet,Qwen3.5-9B,image,Image,400,61,0.1525,4,0.06557377049180328,0.01,0.017241379310344827
spreadsheet,Qwen3.5-9B,excel_1_image,Excel-Image,400,80,0.2,7,0.0875,0.0175,0.03017241379310345
spreadsheet,Qwen3-VL-30B-A3B-Instruct,latex,LaTeX,400,100,0.25,11,0.11,0.0275,0.05641025641025641
spreadsheet,Qwen3-VL-30B-A3B-Instruct,markdown,Markdown,400,84,0.21,6,0.07142857142857142,0.015,0.03076923076923077
spreadsheet,Qwen3-VL-30B-A3B-Instruct,json_cells,JSON-Cell,400,118,0.295,21,0.17796610169491525,0.0525,0.1076923076923077
spreadsheet,Qwen3-VL-30B-A3B-Instruct,json_rows,JSON-Row,400,110,0.275,7,0.06363636363636363,0.0175,0.035897435897435895
spreadsheet,Qwen3-VL-30B-A3B-Instruct,image,Image,400,61,0.1525,2,0.03278688524590164,0.005,0.010256410256410256
spreadsheet,Qwen3-VL-30B-A3B-Instruct,excel_1_image,Excel-Image,400,63,0.1575,6,0.09523809523809523,0.015,0.03076923076923077
spreadsheet,gemma-3-12b-it,latex,LaTeX,400,55,0.1375,7,0.12727272727272726,0.0175,0.056910569105691054
spreadsheet,gemma-3-12b-it,markdown,Markdown,400,49,0.1225,4,0.08163265306122448,0.01,0.032520325203252036
spreadsheet,gemma-3-12b-it,json_cells,JSON-Cell,400,69,0.1725,18,0.2608695652173913,0.045,0.14634146341463414
spreadsheet,gemma-3-12b-it,json_rows,JSON-Row,400,47,0.1175,5,0.10638297872340426,0.0125,0.04065040650406504
spreadsheet,gemma-3-12b-it,image,Image,400,46,0.115,5,0.10869565217391304,0.0125,0.04065040650406504
spreadsheet,gemma-3-12b-it,excel_1_image,Excel-Image,400,51,0.1275,5,0.09803921568627451,0.0125,0.04065040650406504
spreadsheet,gemma-4-12B-it,latex,LaTeX,400,224,0.56,4,0.017857142857142856,0.01,0.012698412698412698
spreadsheet,gemma-4-12B-it,markdown,Markdown,400,226,0.565,2,0.008849557522123894,0.005,0.006349206349206349
spreadsheet,gemma-4-12B-it,json_cells,JSON-Cell,400,248,0.62,10,0.04032258064516129,0.025,0.031746031746031744
spreadsheet,gemma-4-12B-it,json_rows,JSON-Row,400,235,0.5875,11,0.04680851063829787,0.0275,0.03492063492063492
spreadsheet,gemma-4-12B-it,image,Image,400,167,0.4175,5,0.029940119760479042,0.0125,0.015873015873015872
spreadsheet,gemma-4-12B-it,excel_1_image,Excel-Image,400,196,0.49,4,0.02040816326530612,0.01,0.012698412698412698
spreadsheet,gemma-4-26B-A4B-it,latex,LaTeX,400,252,0.63,5,0.01984126984126984,0.0125,0.014925373134328358
spreadsheet,gemma-4-26B-A4B-it,markdown,Markdown,400,267,0.6675,9,0.033707865168539325,0.0225,0.026865671641791045
spreadsheet,gemma-4-26B-A4B-it,json_cells,JSON-Cell,400,269,0.6725,11,0.040892193308550186,0.0275,0.03283582089552239
spreadsheet,gemma-4-26B-A4B-it,json_rows,JSON-Row,400,256,0.64,4,0.015625,0.01,0.011940298507462687
spreadsheet,gemma-4-26B-A4B-it,image,Image,400,200,0.5,1,0.005,0.0025,0.0029850746268656717
spreadsheet,gemma-4-26B-A4B-it,excel_1_image,Excel-Image,400,228,0.57,3,0.013157894736842105,0.0075,0.008955223880597015
