dataset,model,row_format,column_format,row_correct_count,column_correct_count,intersection_count,conditional_overlap,jaccard
realhit,Qwen3.5-9B,latex,latex,1486,1486,1486,1.0,1.0
realhit,Qwen3.5-9B,latex,markdown,1486,1448,1250,0.8632596685082873,0.7422802850356295
realhit,Qwen3.5-9B,latex,json_cells,1486,1532,1255,0.8191906005221932,0.7118547929665343
realhit,Qwen3.5-9B,latex,json_rows,1486,1489,1241,0.8334452652787105,0.7156862745098039
realhit,Qwen3.5-9B,latex,image,1486,1529,1220,0.7979071288423807,0.6796657381615598
realhit,Qwen3.5-9B,latex,excel_1_image,1486,1576,1267,0.8039340101522843,0.705849582172702
realhit,Qwen3.5-9B,markdown,latex,1448,1486,1250,0.8411843876177658,0.7422802850356295
realhit,Qwen3.5-9B,markdown,markdown,1448,1448,1448,1.0,1.0
realhit,Qwen3.5-9B,markdown,json_cells,1448,1532,1243,0.8113577023498695,0.715601611974669
realhit,Qwen3.5-9B,markdown,json_rows,1448,1489,1236,0.8300873069173942,0.7266313932980599
realhit,Qwen3.5-9B,markdown,image,1448,1529,1193,0.7802485284499673,0.6687219730941704
realhit,Qwen3.5-9B,markdown,excel_1_image,1448,1576,1248,0.7918781725888325,0.7027027027027027
realhit,Qwen3.5-9B,json_cells,latex,1532,1486,1255,0.8445491251682369,0.7118547929665343
realhit,Qwen3.5-9B,json_cells,markdown,1532,1448,1243,0.8584254143646409,0.715601611974669
realhit,Qwen3.5-9B,json_cells,json_cells,1532,1532,1532,1.0,1.0
realhit,Qwen3.5-9B,json_cells,json_rows,1532,1489,1300,0.8730691739422431,0.7553747821034282
realhit,Qwen3.5-9B,json_cells,image,1532,1529,1252,0.8188358404185743,0.6920950801547816
realhit,Qwen3.5-9B,json_cells,excel_1_image,1532,1576,1300,0.8248730964467005,0.7190265486725663
realhit,Qwen3.5-9B,json_rows,latex,1489,1486,1241,0.8351278600269179,0.7156862745098039
realhit,Qwen3.5-9B,json_rows,markdown,1489,1448,1236,0.8535911602209945,0.7266313932980599
realhit,Qwen3.5-9B,json_rows,json_cells,1489,1532,1300,0.8485639686684073,0.7553747821034282
realhit,Qwen3.5-9B,json_rows,json_rows,1489,1489,1489,1.0,1.0
realhit,Qwen3.5-9B,json_rows,image,1489,1529,1219,0.7972531066056245,0.6775986659255142
realhit,Qwen3.5-9B,json_rows,excel_1_image,1489,1576,1277,0.8102791878172588,0.7142058165548099
realhit,Qwen3.5-9B,image,latex,1529,1486,1220,0.8209959623149394,0.6796657381615598
realhit,Qwen3.5-9B,image,markdown,1529,1448,1193,0.8238950276243094,0.6687219730941704
realhit,Qwen3.5-9B,image,json_cells,1529,1532,1252,0.8172323759791122,0.6920950801547816
realhit,Qwen3.5-9B,image,json_rows,1529,1489,1219,0.8186702484889188,0.6775986659255142
realhit,Qwen3.5-9B,image,image,1529,1529,1529,1.0,1.0
realhit,Qwen3.5-9B,image,excel_1_image,1529,1576,1306,0.8286802030456852,0.725958866036687
realhit,Qwen3.5-9B,excel_1_image,latex,1576,1486,1267,0.8526244952893675,0.705849582172702
realhit,Qwen3.5-9B,excel_1_image,markdown,1576,1448,1248,0.861878453038674,0.7027027027027027
realhit,Qwen3.5-9B,excel_1_image,json_cells,1576,1532,1300,0.8485639686684073,0.7190265486725663
realhit,Qwen3.5-9B,excel_1_image,json_rows,1576,1489,1277,0.857622565480188,0.7142058165548099
realhit,Qwen3.5-9B,excel_1_image,image,1576,1529,1306,0.854153041203401,0.725958866036687
realhit,Qwen3.5-9B,excel_1_image,excel_1_image,1576,1576,1576,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,latex,latex,1519,1519,1519,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,latex,markdown,1519,1470,1304,0.8870748299319728,0.7738872403560831
realhit,Qwen3-VL-30B-A3B-Instruct,latex,json_cells,1519,1503,1315,0.8749168330006654,0.7703573520796719
realhit,Qwen3-VL-30B-A3B-Instruct,latex,json_rows,1519,1499,1330,0.8872581721147431,0.7879146919431279
realhit,Qwen3-VL-30B-A3B-Instruct,latex,image,1519,1392,1187,0.8527298850574713,0.6885150812064965
realhit,Qwen3-VL-30B-A3B-Instruct,latex,excel_1_image,1519,1298,1139,0.8775038520801233,0.6787842669845053
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,latex,1470,1519,1304,0.858459512837393,0.7738872403560831
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,markdown,1470,1470,1470,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,json_cells,1470,1503,1309,0.8709248170326015,0.7866586538461539
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,json_rows,1470,1499,1313,0.875917278185457,0.7928743961352657
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,image,1470,1392,1146,0.8232758620689655,0.6678321678321678
realhit,Qwen3-VL-30B-A3B-Instruct,markdown,excel_1_image,1470,1298,1108,0.8536209553158706,0.6674698795180722
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,latex,1503,1519,1315,0.8657011191573404,0.7703573520796719
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,markdown,1503,1470,1309,0.8904761904761904,0.7866586538461539
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,json_cells,1503,1503,1503,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,json_rows,1503,1499,1324,0.8832555036691128,0.7890345649582837
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,image,1503,1392,1179,0.8469827586206896,0.6870629370629371
realhit,Qwen3-VL-30B-A3B-Instruct,json_cells,excel_1_image,1503,1298,1130,0.8705701078582434,0.6762417713943746
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,latex,1499,1519,1330,0.8755760368663594,0.7879146919431279
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,markdown,1499,1470,1313,0.8931972789115646,0.7928743961352657
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,json_cells,1499,1503,1324,0.8809048569527611,0.7890345649582837
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,json_rows,1499,1499,1499,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,image,1499,1392,1157,0.8311781609195402,0.6672433679354095
realhit,Qwen3-VL-30B-A3B-Instruct,json_rows,excel_1_image,1499,1298,1115,0.8590138674884438,0.6629013079667063
realhit,Qwen3-VL-30B-A3B-Instruct,image,latex,1392,1519,1187,0.781435154707044,0.6885150812064965
realhit,Qwen3-VL-30B-A3B-Instruct,image,markdown,1392,1470,1146,0.7795918367346939,0.6678321678321678
realhit,Qwen3-VL-30B-A3B-Instruct,image,json_cells,1392,1503,1179,0.7844311377245509,0.6870629370629371
realhit,Qwen3-VL-30B-A3B-Instruct,image,json_rows,1392,1499,1157,0.771847898599066,0.6672433679354095
realhit,Qwen3-VL-30B-A3B-Instruct,image,image,1392,1392,1392,1.0,1.0
realhit,Qwen3-VL-30B-A3B-Instruct,image,excel_1_image,1392,1298,1066,0.8212634822804314,0.6564039408866995
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,latex,1298,1519,1139,0.749835418038183,0.6787842669845053
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,markdown,1298,1470,1108,0.7537414965986394,0.6674698795180722
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,json_cells,1298,1503,1130,0.7518296739853626,0.6762417713943746
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,json_rows,1298,1499,1115,0.7438292194796531,0.6629013079667063
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,image,1298,1392,1066,0.7658045977011494,0.6564039408866995
realhit,Qwen3-VL-30B-A3B-Instruct,excel_1_image,excel_1_image,1298,1298,1298,1.0,1.0
realhit,gemma-3-12b-it,latex,latex,1177,1177,1177,1.0,1.0
realhit,gemma-3-12b-it,latex,markdown,1177,969,814,0.8400412796697626,0.6111111111111112
