dataset,dataset_display_name,model,num_samples,num_formats,correctness,none_correct_count,none_correct_rate,exactly_one_count,exactly_one_rate,partial_2_to_f_minus_1_count,partial_2_to_f_minus_1_rate,all_formats_count,all_formats_rate,oracle_union_count,oracle_union_accuracy,best_fixed_format,best_fixed_correct_count,best_fixed_accuracy,sheetflex_correct_count,sheetflex_accuracy,aggregation_gain_count,aggregation_gain,oracle_headroom_count,oracle_headroom,oracle_headroom_captured,aggregation_rescued_vs_best_count,aggregation_regressed_vs_best_count,mcnemar_exact_p_vs_best
realhit,RealHiTBench,Qwen3.5-9B,2384,6,EM = 100,387,0.16233221476510068,183,0.07676174496644295,988,0.41442953020134227,826,0.3464765100671141,1997,0.8376677852348994,excel_1_image,1576,0.6610738255033557,1724,0.7231543624161074,148,0.06208053691275168,421,0.17659395973154363,0.3515439429928741,251,103,2.175128158553564e-15
realhit,RealHiTBench,Qwen3-VL-30B-A3B-Instruct,2384,6,EM = 100,455,0.19085570469798657,205,0.08598993288590603,890,0.3733221476510067,834,0.3498322147651007,1929,0.8091442953020134,latex,1519,0.6371644295302014,1616,0.6778523489932886,97,0.040687919463087245,410,0.17197986577181207,0.23658536585365852,181,84,2.4756353900312503e-09
realhit,RealHiTBench,gemma-3-12b-it,2384,6,EM = 100,759,0.3183724832214765,342,0.14345637583892618,1103,0.4626677852348993,180,0.07550335570469799,1625,0.6816275167785235,latex,1177,0.4937080536912752,1151,0.4828020134228188,-26,-0.010906040268456376,448,0.18791946308724833,-0.05803571428571429,172,198,0.1936389403072119
realhit,RealHiTBench,gemma-4-12B-it,2384,6,EM = 100,422,0.17701342281879195,121,0.05075503355704698,1239,0.5197147651006712,602,0.2525167785234899,1962,0.822986577181208,latex,1723,0.722734899328859,1775,0.7445469798657718,52,0.02181208053691275,239,0.100251677852349,0.2175732217573222,108,56,5.9798502814152875e-05
realhit,RealHiTBench,gemma-4-26B-A4B-it,2384,6,EM = 100,419,0.17575503355704697,107,0.04488255033557047,1126,0.47231543624161076,732,0.3070469798657718,1965,0.824244966442953,latex,1752,0.7348993288590604,1815,0.7613255033557047,63,0.026426174496644295,213,0.08934563758389262,0.29577464788732394,99,36,5.4994793209333215e-08
spreadsheet,SpreadsheetBench,Qwen3.5-9B,400,6,total_hard_restriction = 1,168,0.42,83,0.2075,140,0.35,9,0.0225,232,0.58,json_cells,115,0.2875,138,0.345,23,0.0575,117,0.2925,0.19658119658119658,43,20,0.005152397042092063
spreadsheet,SpreadsheetBench,Qwen3-VL-30B-A3B-Instruct,400,6,total_hard_restriction = 1,205,0.5125,53,0.1325,129,0.3225,13,0.0325,195,0.4875,json_cells,118,0.295,139,0.3475,21,0.0525,77,0.1925,0.2727272727272727,40,19,0.008641499683281734
spreadsheet,SpreadsheetBench,gemma-3-12b-it,400,6,total_hard_restriction = 1,277,0.6925,44,0.11,68,0.17,11,0.0275,123,0.3075,json_cells,69,0.1725,79,0.1975,10,0.025,54,0.135,0.18518518518518517,24,14,0.14330665429588407
spreadsheet,SpreadsheetBench,gemma-4-12B-it,400,6,total_hard_restriction = 1,85,0.2125,36,0.09,178,0.445,101,0.2525,315,0.7875,json_cells,248,0.62,258,0.645,10,0.025,67,0.1675,0.14925373134328357,27,17,0.17417114727072658
spreadsheet,SpreadsheetBench,gemma-4-26B-A4B-it,400,6,total_hard_restriction = 1,65,0.1625,33,0.0825,167,0.4175,135,0.3375,335,0.8375,json_cells,269,0.6725,278,0.695,9,0.0225,66,0.165,0.13636363636363635,26,17,0.2220528201560228
